type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N5,grammar,particles,は,わ,Marks the topic of the sentence,"は sets up what the rest of the sentence will be about; it doesn't necessarily mark the grammatical subject. Contrast with が, which introduces new information or highlights the subject itself. New learners often overuse は where が is needed, especially with question words (誰が来ますか, not 誰は).",Noun + は,私は学生です。,わたしはがくせいです。,I am a student.,学生,私;学;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Pronounced ""wa"", not ""ha"", when used as this particle."
grammar,N5,grammar,particles,が,が,"Marks the subject, especially new information; also used with 好き/欲しい/わかる/できる","が answers ""who/what"" questions and introduces new, previously unmentioned information, where は would sound off if the topic is already established. It's also required (not optional) with a fixed set of predicates: 好き, 嫌い, 欲しい, わかる, できる, あります/います — even though these look like objects in English, Japanese treats them as the grammatical subject.",Noun + が,猫がいます。,ねこがいます。,There is a cat.,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Contrasts with は by highlighting the subject itself.
grammar,N5,grammar,particles,を,お,Marks the direct object of a transitive verb,"を marks what receives the action of a transitive verb. A small set of motion verbs (歩く、走る、渡る、散歩する) also take を to mark the space passed through rather than a destination, e.g. 公園を歩きます (I walk through the park) — a common point of confusion with に/で.",Noun + を,パンを食べます。,ぱんをたべます。,I eat bread.,パン,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Pronounced ""o"", not ""wo"", in modern speech."
grammar,N5,grammar,particles,に（時間）,に,Marks a specific point in time,"に attaches to specific, countable points in time (clock times, dates, weekdays) but is dropped with relative time words like 今日、明日、今、毎日 — you say 月曜日に行きます but just 明日行きます, without に.",Time noun + に,七時に起きます。,しちじにおきます。,I get up at seven o'clock.,,七;時,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Not used with relative time words like 今日/明日.
grammar,N5,grammar,particles,に（行き先）,に,Marks the destination of movement,"に and へ are interchangeable for destinations in casual speech, but に is also required for the ""point"" side of many other patterns (existence, giving/receiving, indirect objects), so it's worth mastering に first.",Place + に,学校に行きます。,がっこうにいきます。,I go to school.,学校,学;校;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Interchangeable with へ for destinations.
grammar,N5,grammar,particles,へ,え,Marks the direction of movement,"へ emphasizes the general direction of travel rather than the specific endpoint. In everyday speech, に and へ are largely interchangeable for destinations, so don't worry too much about picking the ""wrong"" one casually.",Place + へ,日本へ行きます。,にほんへいきます。,I am going to Japan.,,日;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Pronounced ""e"", not ""he"", when used as this particle."
grammar,N5,grammar,particles,で（場所）,で,Marks where an action takes place,"で marks where an action happens, while に marks where something exists or is located — compare 部屋で勉強します (I study in the room, action) with 部屋にいます (I am in the room, existence). Mixing these up is one of the most common N5 particle mistakes.",Place + で,図書館で勉強します。,としょかんでべんきょうします。,I study at the library.,図書館;勉強,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Contrast with に, which marks the location of existence."
grammar,N5,grammar,particles,で（手段）,で,"Marks the means, tool, or material used","で also covers the tool, method, or material used to do something, extending beyond transportation to writing tools (ペンで書く), languages (日本語で話す), and payment methods (カードで払う).",Noun + で,バスで行きます。,ばすでいきます。,I go by bus.,バス,行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used for materials: 紙で作ります (I make it out of paper).
grammar,N5,grammar,particles,と（一緒に）,と,Marks a companion for an action,"と requires an animate companion who actively takes part in the action together with the speaker; for a tool or instrument, use で instead — 友達と話す (talk with a friend) vs 電話で話す (talk by phone).",Person + と,友達と話します。,ともだちとはなします。,I talk with my friend.,友達,友;話,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Requires a person or animate companion, not a tool."
grammar,N5,grammar,particles,と（〜と〜）,と,"Connects nouns into a complete, exhaustive list","と creates a complete, closed list — パンと卵を買いました implies bread and eggs were the only things bought. If other unlisted items might also be present, use や instead.",Noun + と + Noun,パンと卵を買いました。,ぱんとたまごをかいました。,I bought bread and eggs.,パン,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Lists everything; compare や for partial lists.
grammar,N5,grammar,particles,も,も,"""Also, too""; replaces は, が, or を","も replaces は、が、or を entirely (it never stacks with them) and can appear on multiple parts of a sentence to mean ""both... and..."": 兄も姉もいます (I have both an older brother and an older sister).",Noun + も,私も学生です。,わたしもがくせいです。,I am also a student.,学生,私;学;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Can be repeated: AもBも (both A and B).
grammar,N5,grammar,particles,から（起点）,から,Marks a starting point in time or space,"から marks a starting point for time, place, or motion, and is very commonly paired with まで to define a range (九時から五時まで). から can separately mean ""because"" at the end of a full clause — context tells the two uses apart.",Noun + から,九時から始まります。,くじからはじまります。,It starts from nine o'clock.,,九;時,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Often paired with まで.
grammar,N5,grammar,particles,まで,まで,Marks an ending point in time or space,"まで marks an endpoint and, unlike から, cannot mean ""because."" It's almost always learned as a pair with から to express a range.",Noun + まで,五時まで働きます。,ごじまではたらきます。,I work until five o'clock.,,五;時,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Often paired with から.
grammar,N5,grammar,particles,の（所有）,の,"Connects two nouns, showing possession or description","の links any two nouns, not just for possession — it also connects nationality/origin + noun (日本の車), material + noun, and topic + noun, working much like English ""of"" in reverse order.",Noun + の + Noun,これは私の本です。,これはわたしのほんです。,This is my book.,これ,私,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also links nationality/profession + noun: 日本の車。
grammar,N5,grammar,particles,の（の代用）,の,"Turns a preceding modifier into ""the one that...""","This の stands in for a noun already mentioned so you don't have to repeat it — if someone points at bags and asks どれがいいですか, you can answer 赤いのがいいです instead of repeating かばん.",な-Adj/い-Adj + の,赤いのをください。,あかいのをください。,Please give me the red one.,赤い,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Avoids repeating the noun already mentioned.
grammar,N5,grammar,particles,か,か,Turns a statement into a question,"か simply turns any statement into a question by attaching to the end; word order never changes. か can also connect two nouns to mean ""or"" (コーヒーか紅茶, coffee or tea).",Sentence + か,学生ですか。,がくせいですか。,Are you a student?,学生,学;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The question mark is usually omitted in writing.
grammar,N5,grammar,particles,や,や,"""And"" for a partial, non-exhaustive list","や lists a few representative items while implying others aren't mentioned — 本やペンがあります suggests notebooks, erasers, etc. might also be there. This softness makes や natural for giving examples rather than a complete inventory.",Noun + や + Noun,机の上に本やペンがあります。,つくえのうえにほんやぺんがあります。,There are things like books and pens on the desk.,ペン,上,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Implies other items are also present.
grammar,N5,grammar,particles,だけ,だけ,"""Only""","だけ is neutral and simply states a limit (""only this many/this much"") without extra emotional color, making it the safer default compared to しか, which always forces a negative verb and implies less than expected.",Noun + だけ,一つだけください。,ひとつだけください。,Please give me just one.,一つ;だけ,一,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Neutral in tone, unlike しか."
grammar,N5,grammar,particles,しか〜ない,しか,"""Only"" (emphasizes a limitation)","しか must be followed by a negative predicate even though the meaning is positive in English (""only 1000 yen"" = 千円しかありません). It often implies the amount is less than hoped for, unlike the neutral だけ.",Noun + しか + negative verb,千円しかありません。,せんえんしかありません。,I have only 1000 yen.,,千;円,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Always paired with a negative verb.
grammar,N5,grammar,particles,ね,ね,Sentence-final particle seeking agreement,"ね invites agreement or shared feeling and softens statements, making conversation feel collaborative — but overusing it with someone you don't know well, or in formal writing, can sound overly familiar.",Sentence + ね,いい天気ですね。,いいてんきですね。,"Nice weather, isn't it?",天気;いい,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softens statements and invites a response.
grammar,N5,grammar,particles,よ,よ,Sentence-final particle asserting new information,"よ asserts something the speaker believes the listener doesn't already know, so it's used to inform, warn, or correct. Using よ with information the listener obviously already knows can sound condescending.",Sentence + よ,明日は休みですよ。,あしたはやすみですよ。,"Tomorrow is a day off, you know.",明日;休み,日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Can sound pushy if overused with strangers.
grammar,N5,grammar,copula,〜です,です,"Polite copula: ""is/am/are""","です is the polite form of the copula だ, used after nouns and な-adjectives. Unlike English ""to be,"" it never conjugates for person or number, only for tense and politeness (です/だ, でした/だった).",Noun/な-Adj + です,あれは山です。,あれはやまです。,That is a mountain.,あれ,山,,,,The plain equivalent is だ.
grammar,N5,grammar,copula,〜じゃありません,じゃありません,Polite negative copula,"じゃ is a contraction of では common in speech; ではありません is preferred in writing or formal contexts, while じゃありません and the even more casual じゃない are typical of everyday conversation.",Noun/な-Adj + じゃありません,先生じゃありません。,せんせいじゃありません。,I am not a teacher.,じゃあ;先生;じゃ,先;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,ではありません is more formal/written.
grammar,N5,grammar,copula,〜でした,でした,Polite past copula,"でした is simply です shifted to the past; the tense sits on the copula itself, not on the noun or な-adjective in front of it, which stays unchanged.",Noun/な-Adj + でした,昨日は雨でした。,きのうはあめでした。,It was rainy yesterday.,昨日,日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Negative past is 〜じゃありませんでした。
grammar,N5,grammar,copula,〜じゃありませんでした,じゃありませんでした,Polite past negative copula,"This combines the negative and the past together; casual speech often shortens it to じゃなかった(です), worth recognizing even if not the focus here.",Noun/な-Adj + じゃありませんでした,休みじゃありませんでした。,やすみじゃありませんでした。,It was not a day off.,じゃあ;休み;じゃ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Longer, but very common in speech."
grammar,N5,grammar,adjectives,い形容詞（現在）,いけいようし（げんざい）,Predicate use of an い-adjective,"い-adjectives conjugate on their own, without needing です for grammatical correctness — 面白い is already a complete sentence; です only adds politeness, unlike with nouns/な-adjectives where だ/です carries real grammatical weight.",い-Adj (ends in い),この本は面白いです。,このほんはおもしろいです。,This book is interesting.,面白い;白い;この,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"です here just adds politeness, not tense."
grammar,N5,grammar,adjectives,い形容詞（否定）,いけいようし（ひてい）,Negate an い-adjective,"Drop the final い and add くない; the one irregular case to remember is いい (good), which becomes よくない, not いくない.",い-Adj stem + くない(です),この本は面白くないです。,このほんはおもしろくないです。,This book is not interesting.,ない;この,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"いい becomes よくない, an irregular change."
grammar,N5,grammar,adjectives,い形容詞（過去）,いけいようし（かこ）,Past tense of an い-adjective,"Drop the final い and add かった; いい again becomes よかった, following the same irregular pattern as the negative form.",い-Adj stem + かった(です),映画は面白かったです。,えいがはおもしろかったです。,The movie was interesting.,映画,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,いい becomes よかった。
grammar,N5,grammar,adjectives,い形容詞（過去否定）,いけいようし（かこひてい）,Past negative of an い-adjective,"Combine both rules: drop い, add くなかった. This four-way table (present/negative/past/past-negative) is the backbone for every い-adjective you'll ever learn.",い-Adj stem + くなかった(です),テストは難しくなかったです。,てすとはむずかしくなかったです。,The test was not difficult.,テスト,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Combines the negative and past rules.
grammar,N5,grammar,adjectives,な形容詞（活用）,なけいようし（かつよう）,Conjugate a な-adjective like a noun,"な-adjectives behave grammatically like nouns — they take だ/です、じゃない、and だった exactly as a noun would, which is why they're sometimes called ""adjectival nouns.""",な-Adj + だ/です/じゃない/だった,ここは静かです。,ここはしずかです。,It is quiet here.,静か;ここ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"No な appears before です, only before a noun."
grammar,N5,grammar,adjectives,な形容詞＋名詞,なけいようし＋めいし,Modify a noun with a な-adjective,The な only appears when directly modifying a following noun (静かな町); in the predicate position (町は静かです) the な disappears entirely — mixing these two forms up is a very common beginner error.,な-Adj + な + Noun,静かな町です。,しずかなまちです。,It is a quiet town.,静か,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The な is dropped in the predicate form.
grammar,N5,grammar,adjectives,い形容詞＋名詞,いけいようし＋めいし,Modify a noun with an い-adjective,"Unlike な-adjectives, い-adjectives attach directly to the following noun with no linking particle at all, in exactly the same form used in the predicate.",い-Adj + Noun,面白い映画を見ました。,おもしろいえいがをみました。,I watched an interesting movie.,面白い;白い;映画,見,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,No linking word is needed between an い-adjective and a noun.
grammar,N5,grammar,verb-forms,〜ます,ます,Polite present/future affirmative,ます attaches to the pre-masu stem of the verb (食べ-ます、飲み-ます、し-ます) and is the default polite form for people you don't know well or formal contexts; casual speech uses the plain forms instead.,Verb stem + ます,毎日勉強します。,まいにちべんきょうします。,I study every day.,勉強;毎日,日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also expresses future or habitual action.
grammar,N5,grammar,verb-forms,〜ません,ません,Polite present/future negative,A simple negative swap of ます; the ません ending itself never changes form regardless of verb type.,Verb stem + ません,お酒を飲みません。,おさけをのみません。,I don't drink alcohol.,お酒,飲,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The negative counterpart of ます。
grammar,N5,grammar,verb-forms,〜ました,ました,Polite past affirmative,"Past tense sits on ます itself (ます→ました), leaving the verb stem untouched — this regularity is one reason polite forms are often taught before plain forms.",Verb stem + ました,昨日勉強しました。,きのうべんきょうしました。,I studied yesterday.,勉強;昨日,日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The past form of ます。
grammar,N5,grammar,verb-forms,〜ませんでした,ませんでした,Polite past negative,"Combines negative and past; there's no casual contraction of this in polite speech, unlike the plain forms.",Verb stem + ませんでした,昨日は行きませんでした。,きのうはいきませんでした。,I did not go yesterday.,昨日,日;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The past negative form of ます。
